val,h1,h2,time_arduino,time_python
9122,1.42,15.95,904771.0,1708079628.3922915
9123,1.3,15.97,904862.0,1708079628.4813323
9124,1.25,16.02,904953.0,1708079628.5744395
9125,1.2,16.03,905044.0,1708079628.6645856
9126,1.13,16.05,905137.0,1708079628.7576869
9127,1.08,16.05,905228.0,1708079628.844839
9128,0.99,16.01,905319.0,1708079628.9389315
9129,0.87,16.05,905410.0,1708079629.0310946
9130,0.82,16.08,905501.0,1708079629.1191854
9131,0.82,16.07,905593.0,1708079629.2144356
9132,0.82,15.99,905684.0,1708079629.30456
9133,0.81,15.86,905776.0,1708079629.394634
9134,0.82,15.83,905867.0,1708079629.4877813
9135,0.82,15.79,905958.0,1708079629.577932
9136,0.9,15.74,906050.0,1708079629.669048
9137,1.13,15.72,906141.0,1708079629.7645283
9138,1.35,15.64,906232.0,1708079629.8530686
9139,1.44,15.59,906323.0,1708079629.9434268
9140,1.57,15.55,906416.0,1708079630.033546
9141,1.86,15.46,906507.0,1708079630.1287966
9142,1.96,15.48,906598.0,1708079630.218193
9143,2.1,15.47,906689.0,1708079630.307916
9144,2.24,15.46,906780.0,1708079630.4021697
9145,2.35,15.55,906872.0,1708079630.492167
9146,2.45,15.59,906963.0,1708079630.5834143
9147,2.55,15.62,907055.0,1708079630.676541
9148,2.66,15.68,907146.0,1708079630.7697525
9149,2.82,15.65,907237.0,1708079630.8577216
9150,2.88,15.69,907329.0,1708079630.9520347
9151,2.72,15.76,907420.0,1708079631.0431411
9152,2.47,15.71,907511.0,1708079631.130123
9153,2.39,15.78,907602.0,1708079631.2223241
9154,2.35,15.82,907695.0,1708079631.3144033
9155,2.26,15.81,907786.0,1708079631.4046555
9156,2.16,15.86,907877.0,1708079631.4973414
9157,2.06,15.86,907968.0,1708079631.588839
9158,1.98,15.9,908059.0,1708079631.6801615
9159,1.89,15.96,908151.0,1708079631.772151
9160,1.82,15.93,908242.0,1708079631.8642719
9161,1.74,16.0,908334.0,1708079631.9544277
9162,1.67,16.03,908425.0,1708079632.0462492
9163,1.6,16.01,908516.0,1708079632.1396985
9164,1.58,16.07,908608.0,1708079632.2306018
9165,1.63,16.08,908699.0,1708079632.318019
9166,1.71,16.09,908790.0,1708079632.4121659
9167,1.78,16.17,908881.0,1708079632.509138
9168,1.82,16.16,908974.0,1708079632.5923934
9169,1.88,16.2,909065.0,1708079632.6833687
9170,1.94,16.27,909156.0,1708079632.7765968
9171,2.05,16.23,909247.0,1708079632.8677645
9172,2.15,16.28,909338.0,1708079632.9568837
9173,1.9,16.33,909430.0,1708079633.0510652
9174,1.75,16.32,909521.0,1708079633.146313
9175,1.7,16.37,909613.0,1708079633.2313812
9176,1.62,16.4,909704.0,1708079633.3266597
9177,1.5,16.42,909796.0,1708079633.4175928
9178,1.39,16.45,909887.0,1708079633.5087726
