,h2_input,xm,time_arduino,time_python,,volt,,law,,e,,h1,h2,xm,xm_dot,theta1,theta2,theta3,filter1,filter1_dot,filter2,filter2_dot,filter3,filter3_dot,ola (x1000)
2300,19.55,20,435294,436.0115743,,51,,1.03,,-0.39,state: ,2.58,19.61,5,0,199717.34,59554.37,153094.64,5,0,-13.41,0.99,4.27,0.14,
2301,19.61,20,435471,436.1874998,,51,,1.02,,-0.33,state: ,2.65,19.67,5,0,199719.31,59559.67,153092.93,5,0,-13.31,0.99,4.29,0.22,
2302,19.67,20,435648,436.363941,,51,,1,,-0.26,state: ,2.74,19.74,5,0,199720.96,59564.05,153091.51,5,0,-13.21,0.98,4.31,0.28,
2303,19.74,20,435826,436.5458813,,51,,0.99,,-0.18,state: ,2.84,19.82,5,0,199722.28,59567.51,153090.39,5,0,-13.11,0.97,4.34,0.34,
2304,19.82,20,436003,436.7211418,,0,,0.97,,-0.15,state: ,2.93,19.85,5,0,199723.18,59569.89,153089.59,5,0,-13.02,0.96,4.37,0.4,
2305,19.85,20,436179,436.8962221,,0,,0.95,,-0.08,state: ,3.15,19.92,5,0,199723.92,59571.79,153088.95,5,0,-12.92,0.95,4.41,0.43,
2306,19.92,20,436356,437.072381,,0,,0.95,,0,state: ,2.88,20,5,0,199724.29,59572.77,153088.62,5,0,-12.82,1,4.45,0.47,
2307,20,20,436531,437.2456627,,0,,0.96,,0.06,state: ,2.57,20.06,5,0,199724.28,59572.74,153088.64,5,0,-12.72,0.88,4.5,0.5,
2308,20.06,20,436706,437.4208448,,0,,0.96,,0.12,state: ,2.46,20.12,5,0,199724,59572.01,153088.89,5,0,-12.64,0.65,4.55,0.52,
2309,20.12,20,436881,437.5990338,,0,,0.96,,0.19,state: ,2.28,20.19,5,0,199723.42,59570.55,153089.42,5,0,-12.57,0.43,4.6,0.54,
2310,20.19,20,437056,437.7726753,,0,,0.96,,0.26,state: ,2.17,20.26,5,0,199722.43,59568.11,153090.31,5,0,-12.53,0.2,4.66,0.56,
2311,20.26,20,437231,437.948756,,0,,0.95,,0.34,state: ,2.01,20.34,5,0,199721.15,59564.88,153091.51,5,0,-12.51,0,4.71,0.58,
2312,20.34,20,437407,438.1261694,,0,,0.96,,0.36,state: ,1.88,20.36,5,0,199719.46,59560.63,153093.12,5,0,-12.51,-0.19,4.77,0.6,
2313,20.36,20,437583,438.3010216,,0,,0.95,,0.45,state: ,1.73,20.45,5,0,199717.65,59556.07,153094.85,5,0,-12.53,-0.36,4.83,0.6,
2314,20.45,20,437760,438.4783254,,0,,0.95,,0.52,state: ,1.59,20.52,5,0,199715.4,59550.44,153097.03,5,0,-12.56,-0.52,4.89,0.61,
2315,20.52,20,437936,438.6552289,,0,,0.95,,0.58,state: ,1.43,20.58,5,0,199712.79,59543.88,153099.57,5,0,-12.62,-0.65,4.95,0.62,
2316,20.58,20,438112,438.8328433,,0,,0.95,,0.64,state: ,1.29,20.64,5,0,199709.92,59536.62,153102.43,5,0,-12.68,-0.77,5.01,0.62,
2317,20.64,20,438288,439.0058246,,0,,0.95,,0.7,state: ,1.14,20.7,5,0,199706.71,59528.51,153105.64,5,0,-12.76,-0.87,5.07,0.62,
2318,20.7,20,438464,439.1840308,,0,,0.95,,0.73,state: ,1.05,20.73,5,0,199703.25,59519.63,153109.15,5,0,-12.84,-0.97,5.14,0.62,
2319,20.73,20,438640,439.3577356,,0,,0.94,,0.81,state: ,1.01,20.81,5,0,199699.57,59510.23,153112.92,5,0,-12.94,-1.02,5.2,0.61,
2320,20.81,20,438817,439.5346406,,0,,0.94,,0.84,state: ,0.9,20.84,5,0,199695.53,59499.73,153117.12,5,0,-13.04,-1.03,5.26,0.61,
2321,20.84,20,438993,439.7124152,,0,,0.95,,0.85,state: ,0.8,20.85,5,0,199691.32,59488.8,153121.53,5,0,-13.15,-1.04,5.32,0.6,
2322,20.85,20,439170,439.8883691,,0,,0.94,,0.89,state: ,0.74,20.89,5,0,199687.1,59477.67,153126.03,5,0,-13.25,-1.04,5.38,0.57,
2323,20.89,20,439346,440.0622797,,0,,0.97,,0.75,state: ,0.71,20.75,5,0,199682.65,59465.89,153130.82,5,0,-13.36,-1.03,5.44,0.55,
2324,20.75,20,439522,440.2393689,,0,,0.98,,0.68,state: ,0.7,20.68,5,0,199678.9,59455.84,153134.92,5,0,-13.46,-0.99,5.49,0.45,
2325,20.68,20,439698,440.4153142,,0,,1,,0.55,state: ,0.7,20.55,5,0,199675.51,59446.73,153138.64,5,0,-13.56,-0.93,5.54,0.35,
2326,20.55,20,439874,440.5941455,,0,,1.01,,0.46,state: ,0.69,20.46,5,0,199672.78,59439.29,153141.67,5,0,-13.65,-0.86,5.57,0.21,
2327,20.46,20,440050,440.7677212,,51,,1.03,,0.34,state: ,0.7,20.34,5,0,199670.48,59433.03,153144.21,5,0,-13.74,-0.78,5.59,0.08,
2328,20.34,20,440227,440.9478974,,51,,1.05,,0.25,state: ,0.67,20.25,5,0,199668.76,59428.31,153146.15,5,0,-13.81,-0.69,5.6,-0.05,
2329,20.25,20,440406,441.1253235,,51,,1.06,,0.13,state: ,0.67,20.13,5,0,199667.51,59424.84,153147.54,5,0,-13.88,-0.62,5.6,-0.17,
2330,20.13,20,440584,441.304251,,51,,1.08,,0.05,state: ,0.68,20.05,5,0,199666.84,59423,153148.29,5,0,-13.95,-0.55,5.58,-0.29,
2331,20.05,20,440762,441.4832933,,51,,1.09,,-0.04,state: ,0.7,19.96,5,0,199666.6,59422.36,153148.56,5,0,-14,-0.48,5.55,-0.39,
2332,19.96,20,440941,441.6594014,,51,,1.11,,-0.15,state: ,0.68,19.85,5,0,199666.82,59422.95,153148.32,5,0,-14.05,-0.41,5.51,-0.47,
2333,19.85,20,441121,441.8398993,,51,,1.13,,-0.26,state: ,0.61,19.74,5,0,199667.57,59425.04,153147.5,5,0,-14.09,-0.35,5.46,-0.55,
2334,19.74,20,441300,442.019855,,51,,1.14,,-0.32,state: ,0.52,19.68,5,0,199668.87,59428.71,153146.09,5,0,-14.12,-0.33,5.41,-0.62,
2335,19.68,20,441480,442.199928,,51,,1.16,,-0.4,state: ,0.46,19.6,5,0,199670.46,59433.23,153144.34,5,0,-14.16,-0.34,5.35,-0.66,
2336,19.6,20,441659,442.3824091,,51,,1.18,,-0.52,state: ,0.48,19.48,5,0,199672.48,59438.92,153142.2,5,0,-14.19,-0.36,5.28,-0.7,
2337,19.48,20,441838,442.5588846,,51,,1.19,,-0.61,state: ,0.54,19.39,5,0,199675.1,59446.36,153139.43,5,0,-14.23,-0.35,5.21,-0.74,
2338,19.39,20,442017,442.7369225,,51,,1.2,,-0.72,state: ,0.66,19.28,5,0,199678.15,59455.03,153136.26,5,0,-14.26,-0.3,5.14,-0.77,
2339,19.28,20,442196,442.9165857,,51,,1.2,,-0.83,state: ,0.93,19.17,5,0,199681.76,59465.31,153132.54,5,0,-14.29,-0.21,5.06,-0.81,
2340,19.17,20,442376,443.0992172,,51,,1.2,,-0.91,state: ,1.07,19.09,5,0,199685.89,59477.12,153128.37,5,0,-14.31,-0.04,4.98,-0.84,
2341,19.09,20,442555,443.2734358,,51,,1.19,,-1.01,state: ,1.44,18.99,5,0,199690.45,59490.17,153123.82,5,0,-14.32,0.13,4.9,-0.86,
2342,18.99,20,442733,443.453228,,51,,1.2,,-1.1,state: ,1.59,18.9,5,0,199695.51,59504.62,153118.87,5,0,-14.3,0.38,4.81,-0.88,
2343,18.9,20,442912,443.6294267,,51,,1.19,,-1.11,state: ,1.71,18.89,5,0,199700.98,59520.3,153113.6,5,0,-14.27,0.58,4.72,-0.89,
2344,18.89,20,443090,443.8094471,,51,,1.17,,-0.96,state: ,1.81,19.04,5,0,199706.54,59536.14,153108.37,5,0,-14.21,0.74,4.63,-0.87,
2345,19.04,20,443269,443.9853823,,51,,1.15,,-0.91,state: ,1.92,19.09,5,0,199711.34,59549.79,153103.9,5,0,-14.13,0.85,4.55,-0.76,
2346,19.09,20,443447,444.1679344,,51,,1.13,,-0.85,state: ,2.03,19.15,5,0,199715.89,59562.62,153099.78,5,0,-14.05,0.93,4.47,-0.64,
2347,19.15,20,443625,444.342011,,51,,1.12,,-0.78,state: ,2.12,19.22,5,0,199720.12,59574.51,153096,5,0,-13.96,0.99,4.41,-0.51,
2348,19.22,20,443803,444.5220969,,51,,1.1,,-0.69,state: ,2.22,19.31,5,0,199724.01,59585.36,153092.57,5,0,-13.86,1.03,4.36,-0.38,
2349,19.31,20,443981,444.7024112,,51,,1.09,,-0.64,state: ,2.31,19.36,5,0,199727.48,59594.95,153089.54,5,0,-13.75,1.05,4.32,-0.25,
2350,19.36,20,444160,444.8808405,,51,,1.07,,-0.56,state: ,2.41,19.44,5,0,199730.68,59603.75,153086.79,5,0,-13.65,1.05,4.29,-0.13,
2351,19.44,20,444338,445.0608549,,51,,1.05,,-0.5,state: ,2.51,19.5,5,0,199733.45,59611.33,153084.4,5,0,-13.54,1.06,4.28,-0.02,
2352,19.5,20,444516,445.2347767,,51,,1.04,,-0.43,state: ,2.61,19.57,5,0,199735.98,59618.15,153082.26,5,0,-13.44,1.06,4.28,0.08,
2353,19.57,20,444694,445.4112282,,51,,1.02,,-0.35,state: ,2.7,19.65,5,0,199738.12,59623.93,153080.4,5,0,-13.33,1.05,4.29,0.16,
2354,19.65,20,444871,445.5870645,,51,,1,,-0.28,state: ,2.79,19.72,5,0,199739.9,59628.65,153078.9,5,0,-13.23,1.05,4.3,0.24,
2355,19.72,20,445048,445.7681952,,51,,0.99,,-0.21,state: ,2.89,19.79,5,0,199741.29,59632.35,153077.7,5,0,-13.12,1.04,4.33,0.31,
2356,19.79,20,445225,445.9443111,,0,,0.97,,-0.15,state: ,2.99,19.85,5,0,199742.34,59635.08,153076.79,5,0,-13.02,1.03,4.36,0.37,
2357,19.85,20,445402,446.1192963,,0,,0.95,,-0.1,state: ,3.21,19.9,5,0,199743.1,59637.07,153076.12,5,0,-12.92,1.02,4.4,0.42,
2358,19.9,20,445578,446.296685,,0,,0.96,,-0.03,state: ,2.98,19.97,5,0,199743.62,59638.41,153075.67,5,0,-12.81,1.07,4.44,0.45,
2359,19.97,20,445754,446.4737756,,0,,0.97,,0.03,state: ,2.63,20.03,5,0,199743.79,59638.84,153075.51,5,0,-12.71,0.96,4.48,0.48,
2360,20.03,20,445929,446.6446786,,0,,0.97,,0.08,state: ,2.43,20.08,5,0,199743.64,59638.44,153075.65,5,0,-12.61,0.71,4.53,0.51,
2361,20.08,20,446104,446.820626,,0,,0.97,,0.14,state: ,2.3,20.14,5,0,199743.2,59637.38,153076.03,5,0,-12.54,0.44,4.58,0.53,
2362,20.14,20,446279,446.9957833,,0,,0.96,,0.23,state: ,2.17,20.23,5,0,199742.5,59635.57,153076.68,5,0,-12.5,0.2,4.63,0.54,
2363,20.23,20,446454,447.1718688,,0,,0.96,,0.31,state: ,2.09,20.31,5,0,199741.34,59632.71,153077.76,5,0,-12.48,-0.01,4.69,0.56,
2364,20.31,20,446630,447.3484287,,0,,0.96,,0.35,state: ,1.93,20.35,5,0,199739.78,59628.8,153079.21,5,0,-12.48,-0.18,4.74,0.59,
2365,20.35,20,446807,447.5254991,,0,,0.96,,0.4,state: ,1.79,20.4,5,0,199738,59624.38,153080.9,5,0,-12.5,-0.34,4.8,0.6,
2366,20.4,20,446983,447.7000496,,0,,0.95,,0.49,state: ,1.65,20.49,5,0,199736.01,59619.41,153082.81,5,0,-12.53,-0.49,4.86,0.6,
2367,20.49,20,447159,447.885304,,0,,0.95,,0.56,state: ,1.52,20.56,5,0,199733.54,59613.22,153085.2,5,0,-12.58,-0.62,4.92,0.61,
2368,20.56,20,447335,448.0548527,,0,,0.95,,0.61,state: ,1.37,20.61,5,0,199730.78,59606.22,153087.95,5,0,-12.64,-0.73,4.98,0.62,
2369,20.61,20,447512,448.2285912,,0,,0.95,,0.68,state: ,1.23,20.68,5,0,199727.73,59598.55,153090.96,5,0,-12.71,-0.83,5.05,0.62,
2370,20.68,20,447688,448.4057364,,0,,0.95,,0.71,state: ,1.11,20.71,5,0,199724.32,59589.89,153094.4,5,0,-12.8,-0.92,5.11,0.63,
2371,20.71,20,447864,448.5807769,,0,,0.94,,0.77,state: ,1.09,20.77,5,0,199720.79,59580.83,153098.01,5,0,-12.89,-0.99,5.17,0.62,
2372,20.77,20,448040,448.756942,,0,,0.94,,0.86,state: ,0.96,20.86,5,0,199716.92,59570.85,153102.03,5,0,-12.99,-1,5.23,0.61,
2373,20.86,20,448217,448.9328637,,0,,0.95,,0.82,state: ,0.84,20.82,5,0,199712.62,59559.72,153106.51,5,0,-13.09,-1.02,5.29,0.62,
2374,20.82,20,448393,449.1115427,,0,,0.95,,0.88,state: ,0.74,20.88,5,0,199708.53,59548.96,153110.87,5,0,-13.19,-1.04,5.35,0.58,
2375,20.88,20,448569,449.2884951,,0,,0.96,,0.83,state: ,0.72,20.83,5,0,199704.14,59537.39,153115.56,5,0,-13.3,-1.05,5.41,0.56,
2376,20.83,20,448745,449.4641976,,0,,0.98,,0.7,state: ,0.72,20.7,5,0,199699.96,59526.29,153120.09,5,0,-13.4,-1.02,5.47,0.5,
2377,20.7,20,448921,449.6399131,,0,,0.99,,0.6,state: ,0.69,20.6,5,0,199696.43,59516.86,153123.93,5,0,-13.5,-0.97,5.52,0.4,
2378,20.6,20,449097,449.813659,,0,,1.01,,0.49,state: ,0.69,20.49,5,0,199693.45,59508.8,153127.23,5,0,-13.6,-0.9,5.56,0.27,
2379,20.49,20,449273,449.9936788,,51,,1.02,,0.41,state: ,0.7,20.41,5,0,199691.03,59502.19,153129.92,5,0,-13.69,-0.83,5.59,0.13,
2380,20.41,20,449451,450.1700692,,51,,1.04,,0.29,state: ,0.68,20.29,5,0,199689,59496.62,153132.2,5,0,-13.77,-0.74,5.6,0.01,
2381,20.29,20,449628,450.3471391,,51,,1.06,,0.19,state: ,0.66,20.19,5,0,199687.54,59492.62,153133.82,5,0,-13.85,-0.67,5.6,-0.12,
2382,20.19,20,449806,450.526499,,51,,1.07,,0.08,state: ,0.67,20.08,5,0,199686.56,59489.93,153134.92,5,0,-13.91,-0.59,5.59,-0.23,
2383,20.08,20,449984,450.7026551,,51,,1.08,,0,state: ,0.7,20,5,0,199686.18,59488.85,153135.34,5,0,-13.97,-0.52,5.56,-0.34,
2384,20,20,450163,450.88515,,51,,1.1,,-0.1,state: ,0.66,19.9,5,0,199686.17,59488.83,153135.35,5,0,-14.02,-0.44,5.53,-0.43,
2385,19.9,20,450342,451.0626638,,51,,1.12,,-0.22,state: ,0.63,19.78,5,0,199686.68,59490.31,153134.78,5,0,-14.07,-0.39,5.49,-0.51,
2386,19.78,20,450522,451.2432055,,51,,1.14,,-0.31,state: ,0.53,19.69,5,0,199687.81,59493.44,153133.56,5,0,-14.11,-0.36,5.44,-0.59,
2387,19.69,20,450701,451.4253237,,51,,1.16,,-0.41,state: ,0.47,19.59,5,0,199689.34,59497.8,153131.87,5,0,-14.14,-0.36,5.38,-0.65,
2388,19.59,20,450880,451.5992682,,51,,1.17,,-0.48,state: ,0.49,19.52,5,0,199691.42,59503.67,153129.65,5,0,-14.18,-0.37,5.31,-0.71,
2389,19.52,20,451059,451.7794917,,51,,1.18,,-0.56,state: ,0.56,19.44,5,0,199693.81,59510.46,153127.1,5,0,-14.22,-0.35,5.24,-0.74,
2390,19.44,20,451238,451.9599557,,51,,1.19,,-0.67,state: ,0.71,19.33,5,0,199696.62,59518.44,153124.15,5,0,-14.25,-0.3,5.17,-0.76,
2391,19.33,20,451418,452.1423445,,51,,1.18,,-0.77,state: ,0.99,19.23,5,0,199700,59528.03,153120.68,5,0,-14.28,-0.19,5.09,-0.79,
2392,19.23,20,451597,452.3200343,,51,,1.19,,-0.87,state: ,1.16,19.13,5,0,199703.85,59539.04,153116.76,5,0,-14.3,-0.01,5.01,-0.82,
2393,19.13,20,451777,452.4975057,,51,,1.18,,-0.94,state: ,1.48,19.06,5,0,199708.21,59551.52,153112.39,5,0,-14.3,0.18,4.93,-0.85,
2394,19.06,20,451955,452.6773098,,51,,1.18,,-1.03,state: ,1.67,18.97,5,0,199712.92,59564.96,153107.76,5,0,-14.28,0.42,4.84,-0.85,
2395,18.97,20,452133,452.8524001,,51,,1.17,,-1,state: ,1.8,19,5,0,199718.04,59579.62,153102.79,5,0,-14.24,0.64,4.76,-0.86,
2396,19,20,452312,453.0325408,,51,,1.14,,-0.84,state: ,1.92,19.16,5,0,199723.03,59593.84,153098.04,5,0,-14.18,0.8,4.67,-0.82,
2397,19.16,20,452490,453.2091153,,51,,1.13,,-0.81,state: ,2.03,19.19,5,0,199727.26,59605.81,153094.1,5,0,-14.1,0.92,4.59,-0.7,
2398,19.19,20,452668,453.391367,,51,,1.11,,-0.74,state: ,2.14,19.26,5,0,199731.32,59617.27,153090.37,5,0,-14.01,1,4.52,-0.58,
2399,19.26,20,452846,453.5661814,,51,,1.09,,-0.65,state: ,2.26,19.35,5,0,199735.03,59627.68,153087.01,5,0,-13.91,1.06,4.46,-0.45,
2400,19.35,20,453024,453.7466397,,51,,1.08,,-0.58,state: ,2.36,19.42,5,0,199738.28,59636.72,153084.12,5,0,-13.8,1.1,4.42,-0.32,
2401,19.42,20,453202,453.9240696,,51,,1.06,,-0.54,state: ,2.47,19.46,5,0,199741.18,59644.71,153081.56,5,0,-13.69,1.12,4.39,-0.19,
2402,19.46,20,453381,454.1038926,,51,,1.04,,-0.46,state: ,2.59,19.54,5,0,199743.89,59652.14,153079.17,5,0,-13.58,1.14,4.37,-0.08,
2403,19.54,20,453560,454.2786238,,51,,1.03,,-0.38,state: ,2.69,19.62,5,0,199746.2,59658.42,153077.15,5,0,-13.46,1.15,4.36,0.02,
2404,19.62,20,453737,454.453624,,51,,1.01,,-0.32,state: ,2.81,19.68,5,0,199748.09,59663.53,153075.51,5,0,-13.35,1.15,4.36,0.12,
2405,19.68,20,453914,454.6340194,,51,,0.99,,-0.25,state: ,2.91,19.75,5,0,199749.67,59667.77,153074.12,5,0,-13.23,1.15,4.37,0.2,
2406,19.75,20,454091,454.8135412,,0,,0.98,,-0.17,state: ,3.01,19.83,5,0,199750.95,59671.13,153073.01,5,0,-13.12,1.15,4.39,0.27,
2407,19.83,20,454267,454.9861081,,0,,0.95,,-0.09,state: ,3.25,19.91,5,0,199751.79,59673.37,153072.26,5,0,-13,1.14,4.42,0.34,
2408,19.91,20,454444,455.1622758,,0,,0.96,,-0.06,state: ,3.03,19.94,5,0,199752.23,59674.49,153071.89,5,0,-12.89,1.19,4.45,0.4,
2409,19.94,20,454620,455.3384025,,0,,0.97,,0.01,state: ,2.68,20.01,5,0,199752.5,59675.21,153071.64,5,0,-12.77,1.08,4.49,0.44,
2410,20.01,20,454795,455.5135202,,0,,0.97,,0.05,state: ,2.48,20.05,5,0,199752.46,59675.14,153071.67,5,0,-12.66,0.83,4.54,0.47,
2411,20.05,20,454970,455.6870675,,0,,0.97,,0.12,state: ,2.35,20.12,5,0,199752.21,59674.5,153071.9,5,0,-12.58,0.56,4.58,0.49,
2412,20.12,20,455145,455.8640771,,0,,0.96,,0.2,state: ,2.23,20.2,5,0,199751.6,59672.94,153072.46,5,0,-12.52,0.3,4.63,0.51,
2413,20.2,20,455320,456.0386155,,0,,0.97,,0.26,state: ,2.06,20.26,5,0,199750.59,59670.43,153073.39,5,0,-12.49,0.08,4.68,0.53,
2414,20.26,20,455495,456.2170382,,0,,0.96,,0.32,state: ,1.93,20.32,5,0,199749.28,59667.16,153074.6,5,0,-12.48,-0.13,4.74,0.55,
2415,20.32,20,455671,456.3918457,,0,,0.96,,0.39,state: ,1.78,20.39,5,0,199747.71,59663.22,153076.1,5,0,-12.5,-0.31,4.79,0.56,
2416,20.39,20,455847,456.5679569,,0,,0.95,,0.48,state: ,1.71,20.48,5,0,199745.76,59658.35,153077.96,5,0,-12.53,-0.48,4.85,0.58,
2417,20.48,20,456024,456.7454858,,0,,0.96,,0.52,state: ,1.56,20.52,5,0,199743.37,59652.37,153080.29,5,0,-12.58,-0.59,4.9,0.6,
2418,20.52,20,456200,456.9193034,,0,,0.95,,0.58,state: ,1.42,20.58,5,0,199740.75,59645.79,153082.85,5,0,-12.64,-0.7,4.96,0.61,
2419,20.58,20,456376,457.0957305,,0,,0.95,,0.66,state: ,1.35,20.66,5,0,199737.87,59638.5,153085.71,5,0,-12.71,-0.8,5.02,0.61,
2420,20.66,20,456553,457.2714915,,0,,0.94,,0.74,state: ,1.22,20.74,5,0,199734.56,59630.1,153089.04,5,0,-12.79,-0.86,5.09,0.62,
2421,20.74,20,456729,457.4509685,,0,,0.94,,0.78,state: ,1.12,20.78,5,0,199730.84,59620.63,153092.81,5,0,-12.87,-0.91,5.15,0.63,
2422,20.78,20,456905,457.6236951,,0,,0.94,,0.82,state: ,1,20.82,5,0,199726.93,59610.56,153096.84,5,0,-12.96,-0.95,5.21,0.63,
2423,20.82,20,457081,457.8011708,,0,,0.95,,0.82,state: ,0.89,20.82,5,0,199722.85,59599.97,153101.1,5,0,-13.06,-0.99,5.27,0.62,
2424,20.82,20,457257,457.9759405,,0,,0.95,,0.86,state: ,0.79,20.86,5,0,199718.76,59589.3,153105.4,5,0,-13.16,-1.01,5.34,0.59,
2425,20.86,20,457434,458.1520567,,0,,0.95,,0.87,state: ,0.73,20.87,5,0,199714.48,59578,153109.98,5,0,-13.26,-1.03,5.4,0.56,
2426,20.87,20,457610,458.3299127,,0,,0.97,,0.72,state: ,0.72,20.72,5,0,199710.14,59566.52,153114.65,5,0,-13.36,-1.02,5.45,0.53,
2427,20.72,20,457786,458.5080504,,0,,0.99,,0.61,state: ,0.71,20.61,5,0,199706.54,59556.91,153118.57,5,0,-13.46,-0.98,5.5,0.42,
2428,20.61,20,457962,458.680388,,0,,1.01,,0.5,state: ,0.7,20.5,5,0,199703.51,59548.76,153121.9,5,0,-13.56,-0.92,5.55,0.29,
2429,20.5,20,458138,458.8579624,,51,,1.02,,0.42,state: ,0.7,20.42,5,0,199701,59541.93,153124.68,5,0,-13.65,-0.85,5.58,0.16,
2430,20.42,20,458315,459.0378549,,51,,1.04,,0.3,state: ,0.7,20.3,5,0,199698.92,59536.25,153127.01,5,0,-13.74,-0.77,5.59,0.03,
2431,20.3,20,458492,459.2138186,,51,,1.05,,0.21,state: ,0.69,20.21,5,0,199697.4,59532.07,153128.71,5,0,-13.81,-0.69,5.6,-0.1,
2432,20.21,20,458671,459.3939779,,51,,1.07,,0.1,state: ,0.69,20.1,5,0,199696.35,59529.19,153129.89,5,0,-13.88,-0.61,5.59,-0.21,
2433,20.1,20,458849,459.5705702,,51,,1.08,,0.01,state: ,0.72,20.01,5,0,199695.87,59527.81,153130.45,5,0,-13.94,-0.54,5.56,-0.32,
2434,20.01,20,459028,459.7491429,,51,,1.1,,-0.12,state: ,0.7,19.88,5,0,199695.84,59527.72,153130.5,5,0,-14,-0.46,5.53,-0.42,
2435,19.88,20,459207,459.930505,,51,,1.12,,-0.22,state: ,0.64,19.78,5,0,199696.45,59529.43,153129.82,5,0,-14.04,-0.39,5.49,-0.51,
2436,19.78,20,459386,460.1106725,,51,,1.14,,-0.31,state: ,0.54,19.69,5,0,199697.54,59532.47,153128.62,5,0,-14.08,-0.36,5.44,-0.59,
2437,19.69,20,459566,460.286267,,51,,1.16,,-0.41,state: ,0.49,19.59,5,0,199699.09,59536.85,153126.93,5,0,-14.12,-0.37,5.38,-0.65,
2438,19.59,20,459745,460.4660702,,51,,1.17,,-0.52,state: ,0.51,19.48,5,0,199701.15,59542.69,153124.7,5,0,-14.16,-0.38,5.32,-0.71,
2439,19.48,20,459924,460.6488409,,51,,1.19,,-0.63,state: ,0.59,19.37,5,0,199703.75,59550.01,153121.96,5,0,-14.19,-0.36,5.24,-0.76,
2440,19.37,20,460103,460.8262331,,51,,1.19,,-0.72,state: ,0.74,19.28,5,0,199706.9,59559,153118.64,5,0,-14.23,-0.3,5.17,-0.81,
2441,19.28,20,460282,461.0059075,,51,,1.19,,-0.81,state: ,1.02,19.19,5,0,199710.51,59569.24,153114.9,5,0,-14.26,-0.2,5.09,-0.84,
2442,19.19,20,460462,461.1828122,,51,,1.19,,-0.85,state: ,1.18,19.15,5,0,199714.54,59580.77,153110.79,5,0,-14.28,0,5,-0.86,
2443,19.15,20,460642,461.3650672,,51,,1.18,,-0.94,state: ,1.51,19.06,5,0,199718.82,59592.97,153106.51,5,0,-14.28,0.18,4.92,-0.86,
2444,19.06,20,460820,461.5391788,,51,,1.18,,-1.02,state: ,1.69,18.98,5,0,199723.53,59606.38,153101.89,5,0,-14.26,0.43,4.83,-0.86,
2445,18.98,20,460998,461.7193282,,51,,1.17,,-1,state: ,1.84,19,5,0,199728.62,59620.9,153096.98,5,0,-14.22,0.63,4.75,-0.86,
2446,19,20,461176,461.8982875,,51,,1.14,,-0.85,state: ,1.94,19.15,5,0,199733.64,59635.18,153092.21,5,0,-14.16,0.8,4.66,-0.81,
2447,19.15,20,461355,462.0759363,,51,,1.13,,-0.82,state: ,2.06,19.18,5,0,199737.87,59647.14,153088.28,5,0,-14.08,0.92,4.58,-0.69,
2448,19.18,20,461533,462.2543769,,51,,1.11,,-0.74,state: ,2.17,19.26,5,0,199741.95,59658.67,153084.53,5,0,-13.98,1.01,4.51,-0.57,
2449,19.26,20,461711,462.4343648,,51,,1.09,,-0.66,state: ,2.27,19.34,5,0,199745.67,59669.04,153081.18,5,0,-13.88,1.06,4.45,-0.44,
2450,19.34,20,461889,462.6154716,,51,,1.08,,-0.6,state: ,2.39,19.4,5,0,199748.96,59678.17,153078.26,5,0,-13.78,1.1,4.41,-0.31,
2451,19.4,20,462067,462.7908144,,51,,1.06,,-0.56,state: ,2.51,19.44,5,0,199751.93,59686.39,153075.64,5,0,-13.67,1.13,4.38,-0.19,
2452,19.44,20,462245,462.9693296,,51,,1.04,,-0.47,state: ,2.61,19.53,5,0,199754.73,59694.01,153073.2,5,0,-13.55,1.14,4.36,-0.09,
2453,19.53,20,462424,463.1468761,,51,,1.02,,-0.38,state: ,2.72,19.62,5,0,199757.06,59700.33,153071.17,5,0,-13.44,1.15,4.35,0.02,
2454,19.62,20,462602,463.3210576,,51,,1.01,,-0.32,state: ,2.85,19.68,5,0,199758.95,59705.44,153069.51,5,0,-13.32,1.16,4.35,0.12,
2455,19.68,20,462779,463.4970918,,51,,0.99,,-0.24,state: ,2.95,19.76,5,0,199760.56,59709.72,153068.1,5,0,-13.21,1.16,4.36,0.2,
2456,19.76,20,462956,463.6739242,,0,,0.97,,-0.17,state: ,3.08,19.83,5,0,199761.78,59712.94,153067.04,5,0,-13.09,1.16,4.38,0.28,
2457,19.83,20,463132,463.849025,,0,,0.95,,-0.1,state: ,3.33,19.9,5,0,199762.6,59715.1,153066.32,5,0,-12.98,1.17,4.41,0.35,
2458,19.9,20,463308,464.0302048,,0,,0.95,,-0.05,state: ,3.13,19.95,5,0,199763.09,59716.37,153065.9,5,0,-12.86,1.22,4.45,0.41,
2459,19.95,20,463484,464.2037368,,0,,0.96,,0.03,state: ,2.78,20.03,5,0,199763.34,59717,153065.68,5,0,-12.74,1.13,4.49,0.44,
2460,20.03,20,463660,464.3784418,,0,,0.96,,0.1,state: ,2.56,20.1,5,0,199763.17,59716.58,153065.84,5,0,-12.62,0.88,4.53,0.49,
2461,20.1,20,463835,464.5546551,,0,,0.97,,0.11,state: ,2.41,20.11,5,0,199762.68,59715.33,153066.28,5,0,-12.53,0.61,4.58,0.52,
2462,20.11,20,464010,464.7291732,,0,,0.96,,0.2,state: ,2.29,20.2,5,0,199762.1,59713.93,153066.79,5,0,-12.47,0.34,4.63,0.52,
