val,h1,h2,time_arduino,time_python
201,56.54,34.74,84447.0,1708080610.3780277
202,56.42,34.78,84538.0,1708080610.4689121
203,56.31,34.79,84630.0,1708080610.5630388
204,56.18,34.86,84721.0,1708080610.6531894
205,56.11,34.88,84812.0,1708080610.7510006
206,56.1,34.91,84903.0,1708080610.8384192
207,56.0,34.97,84995.0,1708080610.9335294
208,55.72,34.99,85087.0,1708080611.0180044
209,55.72,35.0,85178.0,1708080611.1119087
210,55.64,35.03,85269.0,1708080611.2020218
211,55.45,35.07,85360.0,1708080611.2921498
212,55.35,35.1,85451.0,1708080611.3872757
213,55.38,35.13,85543.0,1708080611.4773183
214,55.4,35.19,85635.0,1708080611.5695324
215,55.47,35.2,85726.0,1708080611.6576447
216,55.47,35.22,85817.0,1708080611.751692
217,55.47,35.3,85909.0,1708080611.8408916
218,55.55,35.34,86000.0,1708080611.9321845
219,55.53,35.33,86091.0,1708080612.025266
220,55.32,35.36,86182.0,1708080612.115392
221,55.08,35.41,86274.0,1708080612.2106357
222,55.04,35.45,86366.0,1708080612.3006217
223,55.08,35.46,86457.0,1708080612.3897483
224,54.93,35.53,86548.0,1708080612.4801455
225,54.77,35.55,86639.0,1708080612.5751379
226,54.67,35.56,86730.0,1708080612.6641665
227,54.59,35.61,86822.0,1708080612.757844
228,54.51,35.66,86914.0,1708080612.8443818
229,54.44,35.7,87005.0,1708080612.938502
230,54.35,35.71,87096.0,1708080613.0336246
231,54.22,35.76,87187.0,1708080613.1197562
232,54.15,35.81,87279.0,1708080613.220006
233,54.18,35.84,87370.0,1708080613.3031306
234,54.26,35.88,87461.0,1708080613.3959005
235,54.34,35.91,87553.0,1708080613.4883678
236,54.39,35.92,87644.0,1708080613.5775018
237,54.44,35.95,87736.0,1708080613.6674998
238,54.51,36.0,87827.0,1708080613.7617455
239,54.59,36.04,87918.0,1708080613.8518686
240,54.62,36.08,88009.0,1708080613.9421213
241,54.68,36.13,88101.0,1708080614.0391128
242,54.78,36.15,88193.0,1708080614.1273646
243,54.8,36.17,88284.0,1708080614.2164903
244,54.81,36.21,88375.0,1708080614.3136106
245,54.93,36.27,88466.0,1708080614.4017706
246,55.1,36.3,88558.0,1708080614.4908607
247,55.18,36.3,88649.0,1708080614.580847
248,55.07,36.37,88740.0,1708080614.6771193
249,54.92,36.39,88832.0,1708080614.76523
250,54.84,36.43,88923.0,1708080614.8563561
251,54.89,36.46,89015.0,1708080614.9454513
252,54.99,36.49,89106.0,1708080615.0402467
253,54.95,36.53,89197.0,1708080615.130847
254,54.88,36.55,89288.0,1708080615.219801
255,54.87,36.6,89379.0,1708080615.3172877
256,54.93,36.63,89472.0,1708080615.4050486
257,54.94,36.65,89563.0,1708080615.4953465
258,54.95,36.72,89654.0,1708080615.5893955
259,55.07,36.74,89745.0,1708080615.678598
260,55.13,36.78,89837.0,1708080615.7745905
261,55.26,36.81,89928.0,1708080615.8654552
262,55.38,36.83,90019.0,1708080615.9530945
263,55.44,36.87,90110.0,1708080616.0449395
264,55.48,36.91,90202.0,1708080616.1332383
265,55.58,36.97,90294.0,1708080616.227358
266,55.72,36.99,90385.0,1708080616.320338
267,55.7,37.0,90476.0,1708080616.4077153
268,55.54,37.03,90567.0,1708080616.501838
269,55.4,37.09,90658.0,1708080616.5940871
270,55.48,37.13,90750.0,1708080616.683088
271,55.61,37.15,90842.0,1708080616.77634
272,55.58,37.2,90933.0,1708080616.8662853
273,55.45,37.24,91024.0,1708080616.9562292
274,55.43,37.24,91115.0,1708080617.0515397
275,55.5,37.3,91207.0,1708080617.1418283
276,55.55,37.34,91298.0,1708080617.2319553
277,55.47,37.35,91389.0,1708080617.3250763
278,55.32,37.4,91481.0,1708080617.4152045
