,h1,h2,time_arduino,time_python
180,64.0,34.2,83830.0,1708084026.0475128
181,64.06,34.25,83922.0,1708084026.1415677
182,64.09,34.32,84014.0,1708084026.2326934
183,64.07,34.33,84105.0,1708084026.3223305
184,64.01,34.31,84196.0,1708084026.415937
185,63.99,34.41,84287.0,1708084026.5059984
186,64.03,34.46,84379.0,1708084026.5965571
187,64.1,34.38,84470.0,1708084026.686803
188,64.17,34.27,84561.0,1708084026.780434
189,64.27,34.4,84653.0,1708084026.8730972
190,64.33,34.56,84744.0,1708084026.9606814
191,64.34,34.54,84836.0,1708084027.0572982
192,64.35,34.57,84927.0,1708084027.153911
193,64.44,34.49,85018.0,1708084027.2371666
194,64.52,34.42,85109.0,1708084027.329294
195,64.59,34.49,85201.0,1708084027.419428
196,64.74,34.56,85293.0,1708084027.5095036
197,64.72,34.53,85384.0,1708084027.6037009
198,64.53,34.55,85475.0,1708084027.6938257
199,64.36,34.63,85566.0,1708084027.786428
200,64.29,34.7,85658.0,1708084027.8761296
201,64.26,34.66,85749.0,1708084027.969291
202,64.14,34.69,85840.0,1708084028.059248
203,63.96,34.82,85932.0,1708084028.1504269
204,63.92,34.79,86023.0,1708084028.2426722
205,63.88,34.78,86115.0,1708084028.3327918
206,63.74,34.87,86206.0,1708084028.4229188
207,63.62,34.92,86297.0,1708084028.5180414
208,63.57,34.92,86388.0,1708084028.6107163
209,63.58,34.93,86479.0,1708084028.698285
210,63.53,35.04,86572.0,1708084028.7872815
211,63.58,35.04,86663.0,1708084028.8814971
212,63.7,35.02,86754.0,1708084028.9716547
213,63.73,35.17,86845.0,1708084029.0617828
214,63.75,35.18,86936.0,1708084029.1559436
215,63.82,35.13,87028.0,1708084029.2491724
216,63.74,35.23,87119.0,1708084029.335955
217,63.78,35.3,87211.0,1708084029.434008
218,64.03,35.3,87302.0,1708084029.5205324
219,64.09,35.28,87394.0,1708084029.6122322
220,63.93,35.37,87485.0,1708084029.7087784
221,63.92,35.51,87576.0,1708084029.794874
222,64.25,35.45,87667.0,1708084029.8869727
223,64.35,35.41,87758.0,1708084029.975149
224,64.06,35.54,87851.0,1708084030.071002
225,63.89,35.56,87942.0,1708084030.1595023
226,63.83,35.57,88033.0,1708084030.249519
227,63.74,35.6,88124.0,1708084030.3447726
228,63.63,35.68,88215.0,1708084030.435946
229,63.48,35.7,88307.0,1708084030.5245445
230,63.37,35.66,88398.0,1708084030.6182604
231,63.27,35.75,88489.0,1708084030.7122595
232,63.19,35.81,88581.0,1708084030.7983847
233,63.07,35.79,88672.0,1708084030.892483
234,62.99,35.83,88764.0,1708084030.9826608
235,62.96,35.89,88855.0,1708084031.0737581
236,62.95,35.94,88946.0,1708084031.1649492
237,63.08,35.93,89037.0,1708084031.2581353
238,63.21,35.99,89128.0,1708084031.3472402
239,63.19,36.08,89221.0,1708084031.4460046
240,63.17,36.06,89312.0,1708084031.531502
241,63.26,36.08,89403.0,1708084031.6249259
